Name,Market Cap
ACE.BK,26599583744
ADVANC.BK,594800017408
AEONTS.BK,48125001728
AMATA.BK,23344998400
AOT.BK,1074998935552
AP.BK,36177850368
AWC.BK,193604845568
BAM.BK,52359049216
BANPU.BK,105676996608
BBL.BK,293961334784
BCH.BK,51875201024
BCP.BK,50597130240
BCPG.BK,29076899840
BDMS.BK,468814004224
BEC.BK,20800000000
BEM.BK,148264501248
BGRIM.BK,110141521920
BH.BK,165336285184
BLA.BK,49946423296
BTS.BK,113899732992
CBG.BK,99499999232
CENTEL.BK,69862498304
CHG.BK,41360003072
CK.BK,39218716672
CKP.BK,37395144704
COM7.BK,77512499200
CPALL.BK,628809990144
CPF.BK,189531308032
CPN.BK,312959500288
CRC.BK,262348505088
DOHOME.BK,40985034752
DTAC.BK,115430735872
EA.BK,329172484096
EGCO.BK,92394602496
EPG.BK,25619998720
ESSO.BK,32532082688
FORTH.BK,36713467904
GLOBAL.BK,97955487744
GPSC.BK,209364942848
GULF.BK,636520628224
GUNKUL.BK,44856778752
HANA.BK,47689080832
HMPRO.BK,192007536640
INTUCH.BK,236493389824
IRPC.BK,64497496064
IVL.BK,234407460864
JMART.BK,56835477504
JMT.BK,92291874816
KBANK.BK,341183496192
KCE.BK,58507517952
KEX.BK,32063471616
KKP.BK,59695943680
KTB.BK,248774574080
KTC.BK,145675649024
LH.BK,115314597888
MAJOR.BK,16640825344
MEGA.BK,43593502720
MINT.BK,178031591424
MTC.BK,83740000256
ONEE.BK,19169062912
OR.BK,279600005120
ORI.BK,28958615552
OSP.BK,89361555456
PLANB.BK,37016289280
PSL.BK,24636782592
PTG.BK,23212998656
PTT.BK,956860465152
PTTEP.BK,684823281664
PTTGC.BK,228824154112
QH.BK,24857407488
RATCH.BK,94068752384
RBF.BK,27399999488
RCL.BK,25898438656
SAWAD.BK,74836672512
SCB.BK,361964306432
SCC.BK,417600012288
SCGP.BK,228602249216
SINGER.BK,23072962560
SPALI.BK,46294159360
SPRC.BK,47261310976
STA.BK,32563202048
STARK.BK,40487329792
STEC.BK,21809074176
STGT.BK,29511354368
SUPER.BK,18050670592
SYNEX.BK,14150929408
TASCO.BK,26674284544
TCAP.BK,45089800192
THANI.BK,24351029248
TIDLOR.BK,73671524352
TIPH.BK,30903181312
TISCO.BK,82066219008
TOP.BK,131796566016
TQM.BK,24600000512
TRUE.BK,163504177152
TTA.BK,14670803968
TTB.BK,139357732864
TU.BK,75408080896
VGI.BK,53509713920
WHA.BK,57096773632
